 Rank,City,State,Population,Walk Score,Transit Score,Bike Score
1,New York,NY,8175133,88,84,70
2,Los Angeles,CA,3971883,68,57,56
3,Chicago,IL,2695598,77,65,73
4,Houston,TX,2296224,48,40,48
5,Phoenix,AZ,1660272,41,32,56
6,Philadelphia,PA,1567872,78,66,67
7,San Antonio,TX,1469845,35,28,38
8,San Diego,CA,1425976,51,36,52
9,Dallas,TX,1341075,46,40,46
10,San Jose,CA,1030119,50,35,56
11,Austin,TX,790390,57,42,60
12,Jacksonville,FL,911507,26,24,39
13,Fort Worth,TX,854113,33,28,36
14,Columbus,OH,787033,40,33,49
15,San Francisco,CA,883305,87,80,82
16,Charlotte,NC,792862,25,23,38
17,Indianapolis,IN,820445,31,28,46
18,Seattle,WA,744955,76,60,73
19,Denver,CO,619968,61,47,73
20,Washington D.C.,DC,601723,77,71,82
21,Boston,MA,694583,82,74,70
22,Milwaukee,WI,594833,62,49,58
23,Portland,OR,583776,65,56,73
24,Las Vegas,NV,583756,41,34,49
25,Oklahoma City,OK,649021,34,26,41
26,Tucson,AZ,548073,49,38,57
27,Sacramento,CA,501901,58,43,67
28,Long Beach,CA,469450,75,55,61
29,Kansas City,MO,475378,33,28,46
30,Mesa,AZ,484587,36,27,58
31,Atlanta,GA,498715,55,47,53
32,Virginia Beach,VA,450201,32,24,39
33,Raleigh,NC,474069,31,24,44
34,Miami,FL,441003,78,60,74
35,Omaha,NE,466893,45,33,45
36,Oakland,CA,424915,72,57,58
37,Minneapolis,MN,425403,60,57,75
38,Tulsa,OK,391906,36,26,47
39,Wichita,KS,389965,36,28,47
40,New Orleans,LA,391495,59,44,54
41,Arlington,TX,388125,34,28,39
42,Tampa,FL,377165,49,34,56
43,Aurora,CO,325078,50,36,64
44,Santa Ana,CA,324528,70,47,54
45,St. Louis,MO,311404,65,52,54